country_name,unit_measure_id,price_month,price_year,commodity_category,predicted_price
Honduras,5,1,2017,Salt,192.51579104419193
Honduras,5,1,2017,Proteins,192.76709525424616
Honduras,5,1,2017,Fuel,185.02842392654395
Panama,5,1,2017,Grains and Cereals,215.93478608163224
Panama,5,1,2017,Pulses and Lentils,216.42583590942823
Panama,5,1,2017,Edible Oils,206.6383327475917
Panama,5,1,2017,Vegetables,221.60163185829268
Panama,5,1,2017,Sweeteners,221.81209911284043
Panama,5,1,2017,Miscellaneous,224.11645017235162
Panama,5,1,2017,Dairy Products,221.99797740488276
Panama,5,1,2017,Salt,214.85621186221945
Panama,5,1,2017,Proteins,222.08549559364621
Panama,5,1,2017,Fuel,199.13190928858901
Colombia,5,1,2017,Grains and Cereals,1.5652649698582701
Colombia,5,1,2017,Pulses and Lentils,3.132966751604877
Colombia,5,1,2017,Edible Oils,2.5225280248093793
Colombia,5,1,2017,Vegetables,1.2474679371081745
Colombia,5,1,2017,Sweeteners,2.982036721899496
Colombia,5,1,2017,Miscellaneous,18.69482904257606
Colombia,5,1,2017,Dairy Products,3.1974757275766863
Colombia,5,1,2017,Salt,2.2313756690538593
Colombia,5,1,2017,Proteins,3.260682608366322
Colombia,5,1,2017,Fuel,1.7555378562319714
Cambodia,5,1,2017,Grains and Cereals,0.8149632330081537
Cambodia,5,1,2017,Pulses and Lentils,1.3232411689205679
Cambodia,5,1,2017,Edible Oils,1.3796953263434202
Cambodia,5,1,2017,Vegetables,0.9495083029534591
Cambodia,5,1,2017,Sweeteners,1.1774503178359135
Cambodia,5,1,2017,Miscellaneous,3.6146940183232266
Cambodia,5,1,2017,Dairy Products,1.385052021629254
Cambodia,5,1,2017,Salt,1.1263347227773761
Cambodia,5,1,2017,Proteins,1.472080967981632
Cambodia,5,1,2017,Fuel,1.3636980640473002
Indonesia,5,1,2017,Grains and Cereals,0.8663867269516122
Indonesia,5,1,2017,Pulses and Lentils,1.3911172469676398
Indonesia,5,1,2017,Edible Oils,1.3737874169156514
Indonesia,5,1,2017,Vegetables,0.9679393391631127
Indonesia,5,1,2017,Sweeteners,1.1433512192529174
Indonesia,5,1,2017,Miscellaneous,3.664579092537852
Indonesia,5,1,2017,Dairy Products,1.3910067774580843
Indonesia,5,1,2017,Salt,1.239495811973572
Indonesia,5,1,2017,Proteins,1.465571490384365
Indonesia,5,1,2017,Fuel,1.3668875398380993
Lao People's Democratic Republic,5,1,2017,Grains and Cereals,0.78338309778351
Lao People's Democratic Republic,5,1,2017,Pulses and Lentils,1.2635730167255121
Lao People's Democratic Republic,5,1,2017,Edible Oils,1.1592016935660383
Lao People's Democratic Republic,5,1,2017,Vegetables,0.9145033513434349
Lao People's Democratic Republic,5,1,2017,Sweeteners,1.157365285737218
Lao People's Democratic Republic,5,1,2017,Miscellaneous,3.4070727885848986
Lao People's Democratic Republic,5,1,2017,Dairy Products,1.3181372179108886
Lao People's Democratic Republic,5,1,2017,Salt,1.0119499574798434
Lao People's Democratic Republic,5,1,2017,Proteins,1.2823217109080094
Lao People's Democratic Republic,5,1,2017,Fuel,1.1733984501740111
Myanmar,5,1,2017,Grains and Cereals,0.740456673125623
Myanmar,5,1,2017,Pulses and Lentils,1.0596539114484342
Myanmar,5,1,2017,Edible Oils,1.2555645055295515
Myanmar,5,1,2017,Vegetables,0.85085822100373
Myanmar,5,1,2017,Sweeteners,1.0781273595303957
Myanmar,5,1,2017,Miscellaneous,1.8301109307423895
Myanmar,5,1,2017,Dairy Products,1.124506585681346
Myanmar,5,1,2017,Salt,0.8720117972256008
Myanmar,5,1,2017,Proteins,1.2156747321003905
Myanmar,5,1,2017,Fuel,1.0793367601531607
Philippines,5,1,2017,Grains and Cereals,0.6892312502904226
Philippines,5,1,2017,Pulses and Lentils,1.18218125594699
Philippines,5,1,2017,Edible Oils,1.2099328276290242
Philippines,5,1,2017,Vegetables,0.8035628029190943
Philippines,5,1,2017,Sweeteners,1.046973219230268
Philippines,5,1,2017,Miscellaneous,3.44452112793388
Philippines,5,1,2017,Dairy Products,1.242556621747076
Philippines,5,1,2017,Salt,1.0409421472735099
Philippines,5,1,2017,Proteins,1.3036480768945276
Philippines,5,1,2017,Fuel,1.3505298909204155
Azerbaijan,5,1,2017,Grains and Cereals,0.7744871364823492
Azerbaijan,5,1,2017,Pulses and Lentils,1.283927673486957
Azerbaijan,5,1,2017,Edible Oils,1.346600697467829
Azerbaijan,5,1,2017,Vegetables,0.8887911787497553
Azerbaijan,5,1,2017,Sweeteners,1.1467085952379406
Azerbaijan,5,1,2017,Miscellaneous,3.6209310825236303
Azerbaijan,5,1,2017,Dairy Products,1.3410334099586032
Azerbaijan,5,1,2017,Salt,1.1079922175657766
Azerbaijan,5,1,2017,Proteins,1.4271111085124872
Azerbaijan,5,1,2017,Fuel,1.318728204578155
Jordan,5,1,2017,Grains and Cereals,15.003860924713294
Jordan,5,1,2017,Pulses and Lentils,17.445351946906225
Jordan,5,1,2017,Edible Oils,18.146998615577488
Jordan,5,1,2017,Vegetables,6.178128074974261
Jordan,5,1,2017,Sweeteners,9.301816845678719
Jordan,5,1,2017,Miscellaneous,20.29505081589798
Jordan,5,1,2017,Dairy Products,17.581447249139146
Jordan,5,1,2017,Salt,15.421007444868096
Jordan,5,1,2017,Proteins,16.53541462263781
Jordan,5,1,2017,Fuel,18.017791317062887
Lebanon,5,1,2017,Grains and Cereals,0.36229761920957493
Lebanon,5,1,2017,Pulses and Lentils,0.736186995611354
Lebanon,5,1,2017,Edible Oils,0.841314758075853
Lebanon,5,1,2017,Vegetables,0.5349955443552786
Lebanon,5,1,2017,Sweeteners,0.6086109454168457
Lebanon,5,1,2017,Miscellaneous,3.0563120464357154
Lebanon,5,1,2017,Dairy Products,0.8055717567342698
Lebanon,5,1,2017,Salt,0.686343250110599
Lebanon,5,1,2017,Proteins,0.9135092182037782
Lebanon,5,1,2017,Fuel,0.876127972949962
Syrian Arab Republic,5,1,2017,Grains and Cereals,0.7133079400937654
Syrian Arab Republic,5,1,2017,Pulses and Lentils,1.2014209799460482
Syrian Arab Republic,5,1,2017,Edible Oils,1.2601629557187826
Syrian Arab Republic,5,1,2017,Vegetables,0.7767201993287526
Syrian Arab Republic,5,1,2017,Sweeteners,1.0671287433299872
Syrian Arab Republic,5,1,2017,Miscellaneous,3.5173888464707312
Syrian Arab Republic,5,1,2017,Dairy Products,1.2518934127791492
Syrian Arab Republic,5,1,2017,Salt,1.0177869371461719
Syrian Arab Republic,5,1,2017,Proteins,1.34880283311364
Syrian Arab Republic,5,1,2017,Fuel,1.2244819440109276
India,5,2,2017,Grains and Cereals,0.535302216160024
India,5,2,2017,Pulses and Lentils,0.9764052822503941
India,5,2,2017,Edible Oils,1.1477974924059857
India,5,2,2017,Vegetables,0.5228832141529447
India,5,2,2017,Sweeteners,0.7841668471258804
India,5,2,2017,Miscellaneous,1.7307313856681439
India,5,2,2017,Dairy Products,0.9331243099831187
India,5,2,2017,Salt,0.6418804126398696
India,5,2,2017,Proteins,1.0201109562264292
India,5,2,2017,Fuel,1.020262256523502
Pakistan,5,2,2017,Grains and Cereals,0.6869767150167089
Pakistan,5,2,2017,Pulses and Lentils,1.0289489541668244
Pakistan,5,2,2017,Edible Oils,1.2538508864827576
Pakistan,5,2,2017,Vegetables,0.8418737533122795
Pakistan,5,2,2017,Sweeteners,1.024969968422118
Pakistan,5,2,2017,Miscellaneous,1.7133956966830808
Pakistan,5,2,2017,Dairy Products,1.1098880084785048
Pakistan,5,2,2017,Salt,0.8796831129673319
Pakistan,5,2,2017,Proteins,1.1778223372002372
Pakistan,5,2,2017,Fuel,1.0763450951091025
Sri Lanka,5,2,2017,Grains and Cereals,0.7156327039142987
Sri Lanka,5,2,2017,Pulses and Lentils,1.0479616674691743
Sri Lanka,5,2,2017,Edible Oils,1.2633749330299853
Sri Lanka,5,2,2017,Vegetables,0.8348121411597578
Sri Lanka,5,2,2017,Sweeteners,1.070111460635594
Sri Lanka,5,2,2017,Miscellaneous,3.410715331320679
Sri Lanka,5,2,2017,Dairy Products,1.1042778950521532
Sri Lanka,5,2,2017,Salt,0.9049173864105876
Sri Lanka,5,2,2017,Proteins,1.1956705163163293
Sri Lanka,5,2,2017,Fuel,1.0917822530322636
Nepal,5,2,2017,Grains and Cereals,0.757918060862
Nepal,5,2,2017,Pulses and Lentils,1.0989206298736247
Nepal,5,2,2017,Edible Oils,1.3030476945539382
Nepal,5,2,2017,Vegetables,0.8388394989866541
Nepal,5,2,2017,Sweeteners,1.0894216779688852
Nepal,5,2,2017,Miscellaneous,3.44575236453714
Nepal,5,2,2017,Dairy Products,1.1426203986843084
Nepal,5,2,2017,Salt,0.9139155561373294
Nepal,5,2,2017,Proteins,1.2418314671117339
Nepal,5,2,2017,Fuel,1.1237428526323272
Bhutan,5,2,2017,Grains and Cereals,0.7738466291657505
Bhutan,5,2,2017,Pulses and Lentils,1.1222328883028354
Bhutan,5,2,2017,Edible Oils,1.3373793851514144
Bhutan,5,2,2017,Vegetables,0.8731711895841306
Bhutan,5,2,2017,Sweeteners,1.1237533685663614
Bhutan,5,2,2017,Miscellaneous,3.4909655501503183
Bhutan,5,2,2017,Dairy Products,1.1792962008117573
Bhutan,5,2,2017,Salt,0.9414276507440463
Bhutan,5,2,2017,Proteins,1.274057536369337
Bhutan,5,2,2017,Fuel,1.1580745432298034
Bangladesh,5,2,2017,Grains and Cereals,0.6293698267514644
Bangladesh,5,2,2017,Pulses and Lentils,1.0021570046851769
Bangladesh,5,2,2017,Edible Oils,1.1218160477310586
